"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Corvus_brachyrhynchos";"Falco_sparverius";"Turdus_migratorius";"Picoides_arcticus";"Molothrus_ater";"Certhia_americana";"Spizella_passerina";"Nucifraga_columbiana";"Chordeiles_minor";"Junco_hyemalis";"Empidonax_oberholseri";"Passerella_iliaca";"Picoides_villosus";"Troglodytes_aedon";"Passerina_amoena";"Sialia_currucoides";"Parus_gambeli";"Colaptes_auratus";"Contopus_cooperi";"Dryocopus_pileatus";"Sitta_canadensis";"Salpinctes_obsoletus";"Accipiter_striatus";"Cyanocitta_stelleri";"Myadestes_townsendi";"Tachycineta_bicolor";"Chaetura_vauxi";"Tachycineta_thalassina";"Sitta_carolinensis";"Sialia_mexicana";"Piranga_ludoviciana";"Picoides_albolarvatus";"Contopus_sordidulus";"Dendroica_coronata"
"1";"ch_1";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"salvaged";"2,01";1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0;1;0;1;1;1;1
"2";"ch_2";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"salvaged";"2,01";0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1
"3";"ch_3";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"salvaged";"2,01";0;1;1;1;1;0;0;0;1;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1
"4";"ch_4";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"salvaged";"2,01";0;0;1;0;1;1;1;0;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1
"5";"ch_5";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"salvaged";"2,01";0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;1;1;1;1
"6";"ch_6";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"salvaged";"2,01";0;0;0;1;0;1;0;0;0;1;1;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;1
"7";"ch_7";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"salvaged";"2,01";0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1
"8";"ch_8";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"salvaged";"2,01";0;0;0;1;0;0;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;1;1;0
"9";"ch_9";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"salvaged";"2,01";0;0;1;0;1;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1
"10";"ch_10";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"salvaged";"2,01";0;0;1;0;1;0;1;0;0;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;1;1;1;0;1;1;0;0;0
"11";"ch_11";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"unsalvaged";"2,01";0;1;1;0;1;1;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;1;1;0;1;0;1;1;0;0;0;1;1
"12";"ch_12";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"unsalvaged";"2,01";0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
"13";"ch_13";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"unsalvaged";"2,01";0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1
"14";"ch_14";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"unsalvaged";"2,01";0;1;1;0;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;1;1
"15";"ch_15";"Cahall and Hayes 2009";"oregon";"fire";"birds";1;"unsalvaged";"2,01";0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;0;0;1;0;0;0;1;0;0;0;0;1;1;0;0;0;1;1
"16";"ch_16";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"unsalvaged";"2,01";0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;1;0;1;1;0;0;0;0;1
"17";"ch_17";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"unsalvaged";"2,01";0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0
"18";"ch_18";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"unsalvaged";"2,01";0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;1;1;0;0;0;1;0;0;0;1;0;1;1;1
"19";"ch_19";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"unsalvaged";"2,01";0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1
"20";"ch_20";"Cahall and Hayes 2009";"oregon";"fire";"birds";2;"unsalvaged";"2,01";0;0;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;1;0;0;1;1
