"";"plot";"study";"site";"disturbance_type";"taxonomic_group";"year_after_dist";"treatment";"area";"Accipiter_gentilis";"Accipiter_nisus";"Aegithalos_caudatus";"Anthus_campestris";"Buteo_buteo";"Caprimulgus_europaeus";"Carduelis_cannabina";"Carduelis_carduelis";"Carduelis_chloris";"Certhia_brachydactyla";"Clamator_glandarius";"Circaetus_gallicus";"Cisticola_juncidis";"Columba_palumbus";"Cuculus_canorus";"Dendrocopos_major";"Miliaria_calandra";"Emberiza_cirlus";"Erithacus_rubecula";"Falco_subbuteo";"Falco_tinnunculus";"Fringilla_coelebs";"Galerida_cristata";"Garrulus_glandarius";"Hippolais_polyglotta";"Lanius_collurio";"Lanius_meridionalis";"Lanius_senator";"Luscinia_megarhynchos";"Merops_apiaster";"Motacilla_alba";"Muscicapa_striata";"Oriolus_oriolus";"Parus_caeruleus";"Parus_cristatus";"Parus_major";"Passer_domesticus";"Phylloscopus_bonelli";"Petronia_petronia";"Pernis_apivorus";"Picus_viridis";"Regulus_ignicapilla";"Saxicola_torquatus";"Serinus_serinus";"Streptopelia_turtur";"Sylvia_atricapilla";"Sylvia_melanocephala";"Sylvia_undata";"Sturnus_vulgaris";"Troglodytes_troglodytes";"Turdus_merula";"Turdus_philomelos";"Turdus_viscivorus";"Lullula_arborea";"Sylvia_cantillans"
"57";"Rost-165";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,512;0;0;0,575;0;0,393;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,813;0,881;0;0;0;0;9,051;0;0;0;0
"58";"Rost-166";"Rost et al 2012";"rost_spain";"fire";"birds";1;"salvaged";3,663220339;0;0;0;0,205;0;0;0;1,73;0;0;0;0;0,205;0;0;0;0,205;0;0;0;0,205;0;1,705;0;0,453;0;0;0;0,635;0,205;0,871;0;0;0;2,715;0;0,516;0;0;0;0;0;0;0;0;0;0,336;0;0;0;0;0;0;0,934;0
"59";"Rost-167";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345;0;1,131;0,752;0;0;0;0;0;0;0
"60";"Rost-169";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,271;0;0;1,008;0;0;0;0;0;0;0;0;0,509;0,84;0;0;0,938;0;0;0;0;0;0;0;0;0;0;0;0;0,271;0,881;0,889;0;0;0;4,526;0;0;0;3,78
"61";"Rost-170";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0,652;0;0;0;0;0;0;0;0;0;0,205;0;0;0;0;0;2,131;0;0;0;0;0,385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,674;0
"62";"Rost-171";"Rost et al 2012";"rost_spain";"fire";"birds";3;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,345;0;0;0,345;0;0;0;0;0;0;0;0,648;0;0,345;0;0;0;0;0;0;0;0;0;0,345;0;0;0;0;0;0;0,566;0;0;0;0;0;0;0;0,771
"63";"Rost-172";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0,967;0;0;0;0;0;0;0;0;0;0,608;0;0;0;0;0;0;0;1,343;0;0,304;0,571;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,438;0;0;0;0,997;0,663;0;0;0;0;0;0,557;0
"64";"Rost-173";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,271;1,16;0;0;0;0;0;0;0,599;0;0;0;0;0;1,152;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,444;0;0;0;0;0;0;0,966;0
"65";"Rost-174";"Rost et al 2012";"rost_spain";"fire";"birds";3;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0,205;0;0;0;0;0;0;0;0,205;0;0;0,426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,59;0,885;0;0;0,672;0;0;0;0;0;0;1,343;0
"66";"Rost-18";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,459;0;0;0;0;0;0;0;0;0;0;0,333;0;0;0;0;0;0,569;0;0;0;0;0;0;0;0;0;0,429;0;0;0;0;0;0;0,858;0;0;0
"67";"Rost-19";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,922;0;0;0
"68";"Rost-2";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0,312;0;0;0;0;0,196;0;0;0;0;0;0;0;0,831;0;0;0;0;0;0;0,304;0;0;0,678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,275;0;0;0;0
"69";"Rost-20";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;1,476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,21;0;0;0;0,773;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"70";"Rost-21";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0,979;0;0;0;0,366;0;0,366;0,461;0;0;0;0;0;0;0;0;0,429;0;0;0,488;0;0,334;0;0;0;0;0;0;0;0;0;0;0,611;0;0;0;0;0;0;0;0;0,995;0;0;0,378;0;0;0;0;0;0;0;0
"71";"Rost-23";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;2,615;0,694;0;0;0;0;0;0;0;0;0;0;0;0;0;0,697;0;0;0;0;0;0;0;0;0;0;0;0,329;0,872;0;0,829;0;0;0;0;0;0;0,711;0;0;0,539;0;0;0;5,493;0;0;0;0
"72";"Rost-24";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0,541;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,133;1,292;0;0;0;0;0;0;0;0,256;0;0;0;0;0;0;0;0;0;0
"73";"Rost-28";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;2,024;0;0;0;0;2,01;0;0,476;0;0;0;0;0;0;0;0;1,771;0;0;2,019;0;0;0;0;0;0;0;0;0;0;0;0;0;1,052;0;0,952;0;0;0;0;0;1,029;0;0;0;0;0;0,952;7,952;0;0;0;0
"74";"Rost-29";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;3,036;0;0;0;0;0;0;0,357;0;0;0;0;0;0;0;0;0,664;0;0;0;0;0;0;0;0;0;0,554;0;0;0;0;0;0;0,789;0;0;0;0;0;0;0;0,771;0;1,161;0,586;0;0;0,714;5,964;1,429;0;0;0
"75";"Rost-30";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0,462;0,581;0;0;0;0;0;0;0;0;0;0;0;1,233;0;0;0;0;0;0;0;0;0;0;0;0,291;0;0;0;0;0;0;0;0;0;0,628;0;0;0,477;0;0;0;0;0;0;0;1,226
"76";"Rost-31";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0,266;0;0;0;0,423;0;0;0;0;0;0;0;0;0,569;0,495;0;0;0,564;0;0;0;0;0;0,5;0,412;0;0;0;0;0,266;0;0;0;0;0;0;0;0;0;0;0,266;0;0,436;0;0;0;0;0;0;0;1,249
"77";"Rost-33";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;1,056;0;0;0;0;0;0;0;0;0;0;0;0,746;0;0;0;0;0;0;1,092;0;0;0;0;0,352;0;0;0;0;0;0;0;0;0;0;0,352;0;0;0;0;0,704;5,88;0;0;0;0
"78";"Rost-34";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0,243;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,376;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,053;0;0;0;0,957
"79";"Rost-35";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0,365;0;0;0;0;0;0;0;0;0;0;0;0,427;0;0;0,486;0;0;0;0;0;0;0;0;0;0;0;0;0,608;0;0;0;0;0;0;0;0;0;0,229;0;0;0;0;0;0;0;0;0;0
"80";"Rost-36";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,25;0,663;0;0;0;0;0;0;0;0;0;0,25;0;0;0;0;0;0;0;0;2,889;0
"81";"Rost-37";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,662;0;0;0;0;0;0;0;0,79;0;0;0,605;0;0;0;0;0;0;0;0;0;0,228;0;0,374;0;0;0;0;0;0;0;0
"82";"Rost-38";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0,632;0;0,299;0;0;0;0;0;0;0;0,641;0;0;0;1,269;0;0;0;0;0;0;0;0;0;1,036;0;0,299;0;0;0;0;0;0;0;0;0;0;0;0;0,491;0;0;0;5;0;0;0;0
"83";"Rost-39";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0,246;0;0;0;0,246;0;0;0;0;0;0;0;0,522;0;0;0;0;0;0;0;0;0;0;0;0;0;1,089;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,227;0;0;0;0
"84";"Rost-40";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;1,101;0;0;0;0;1,093;0,412;0;0;0;0;0,259;0;0;0;0;0;0;0;0;0;0,376;0;0;0;0;0,402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,119;0,259;0;0;0;0;0;4,326;0;0;0;0
"85";"Rost-41";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,557;0;0;0;0;0,434;0;0;0;0;0;0;0;0;0;0;0,793;1,323;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1,371
"86";"Rost-42";"Rost et al 2012";"rost_spain";"fire";"birds";1;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0,685;0;0;0;0,228;0,489;0;0;0;0;0,475;0;0;0;0;0;0,708;0,457;0;0;0;0;0;0;7,479;0;0,457;0;0;0;0;1,479;0;0;0,749;0;0;0;7,626;0;0;0,963;0
"87";"Rost-43";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,251;0;0,412;0;0;0;0;0,503;0;0;1,28
"88";"Rost-47";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,525;0;0;0;0;0;0;0;0;0;0;0,248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4,134;0;0;0;1,346
"89";"Rost-48";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,51;0,443;0;0;0,505;0;0;0;0;0;0;0;0;0;0;0,238;0;0;0;0;0;0;0;0;0;0;0,514;0;0;0;0;0;0,476;3,976;0;0;0,877;0
"90";"Rost-49";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;1,529;0;0;0;0;0;0;0;0;0;0;0;0;0;1,536;0;0;0;0;0;0;1,123;0;0;0;0,725;0;0,96;0;0;0;0;0;0;0;0;0;0;2,355;0,594;0;0;0,725;6,051;0;0;0;0
"91";"Rost-51";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,637;0;0,522;0;0;0;5,318;0;0;0,909;2,143
"92";"Rost-52";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,379;0;0,811;0;0;0;0;0;0;0;0;0;0;0;1,515;0;0;0;0;1,004;0;0;0;0;0;0;0;0;0;0;0;1,242;0;0;0;0;0;0;0,94;0
"93";"Rost-53";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0,872;0;0;0;0;0;0;0;0,413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,355;0;0;0;0;0;0;0,877;2,983
"94";"Rost-56";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0,312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,833;0;0;0;0;0;0;0;0;0;0;0;0;0;0,196;0;0,322;0;0;0;0;0;0;0,731;0
"95";"Rost-57";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0,909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2,486;0
"96";"Rost-58";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0,787;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,515;0;0;0;0;0,931;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,535;0;0;0;0;0;0;0;0;0;0,8;0
"97";"Rost-60";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,686;0;0;0;0;0;0;0;0
"98";"Rost-67";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,787;0;0;0;0;0;0;0
"99";"Rost-68";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0,24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,637;0,531;0;0;0;0;0;0;0;0;0;0;0,394;0;0;0;4,014;0;0;0;0,94
"100";"Rost-69";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,727;0;0;0;0,51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,539;0;0;0;0;0;0;0;0
"101";"Rost-7";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,877;0
"102";"Rost-70";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,494;0;0;0;0;0;0;0,716;0,546;0;0;0,464;0;1,235;0;0;0;0;0;0,546;0;0;0;0;0;0;0;1,067;0;0;0,81;0;0;0;0;0;0;0;1,389
"103";"Rost-71";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0,316;0;0;0;0;0;0;0;0;0;0;0;0,316;0;0;0;0,316;0;0;0;0;0;0;0;0;0,949;0;0;0;0;0;0;4,785;0;0;0;0;0;0,456;0;0;0;0,519;0,69;0;0;0;0;0;0;0
"104";"Rost-72";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"105";"Rost-73";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,378;0,502;0;0;0;0;0;0;2,583
"106";"Rost-75";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0,23;0;0;0;0;0;0;0;0;0;0;0;0;0;1,002;0;0;0;0;0,357;0;0;0;0,461;0;0;0,509;0;0;0;0;0;0;0;0;0,461;0;0;0;0;0;0;0;0;0;0,9
"107";"Rost-77";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0,329;0;0;0;0,704;0;0;0;0;0;0;0;0;0;0;0,51;0;0;0;0,658;0;0,872;0;0;0;0;0;0;0;0;0,711;0,329;0;0,539;0;0;0;5,493;0;0;0;0
"108";"Rost-8";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0,754;0,5;0,754;0;0;0;0;0;0,237;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"109";"Rost-82";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0,476;0;0,476;0;0;0,886;0;0;1,01;0;0;0;0;0;0;0;0;0;0;0;0;2,524;0;0;1,905;0;0;0;0;0;0;0;0;0,781;0;0;1,905;7,952;0;0;0;0
"110";"Rost-83";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0,357;0;0,357;0;0;0,664;0;0;0;0;0;0,789;0;0;0;0,554;0;0;1,236;0;0,357;0,946;0,789;0;0,714;0;0;0;0;0;0;0,357;0;1,171;0;0;0,714;0;0;0;0;0
"111";"Rost-85";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0,593;0;0;0,423;0;0;0;0;0;0;0;0;0,569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,41;0,588;0;0;0;0;0;0;0;0;0,266;0,864;0,436;0;0;0;4,441;0;0;0;1,043
"112";"Rost-89";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0,365;0;0;0;0;0;0;0;0;0,229;0;0;0;0;0;0;0;0;0;0;0;0;0,356;0;0;0;0;0;2,431;1,014;0;0;0;0;0;0;0;0;0,229;0;0;0;0;0;0;0;0;0;1,269
"113";"Rost-9";"Rost et al 2012";"rost_spain";"fire";"birds";1;"unsalvaged";3,663220339;0;0;0;0;0;0;0;0;0;0;0;0;0;0,518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"114";"Rost-92";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0,299;0;0;0;0;0;0;0;1,281;0;0;0;0;0;0;0;0;0;0;0;0;0;1,036;0,299;0;0,793;0;0;0;0;0;0;0;0;1,293;0,299;0;0,491;0;0;0;0;0;0;0,691;0
"115";"Rost-93";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0;0;0;0;0;0;0,246;0;0;0;0;0;0;0;0;0;0;0;0,522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,532;0;0;0;0;0;0;0;0;0;1,509;0
"116";"Rost-95";"Rost et al 2012";"rost_spain";"fire";"birds";2;"unsalvaged";3,663220339;0;0;0;0;0;0;0,952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,126;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,714;0
"117";"Rost-96";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0,228;0;0;0,726;0,482;0;0;0;0;0;0;0;0;0,457;0;0;0;0;0;0,475;0;0,505;0;0;1,288;0;0,228;0;0;0;0;0;0,505;1,151;0;0;0;0;0;0,658;0;0;0;0;0;0;0;0;0;0;0;0
"118";"Rost-98";"Rost et al 2012";"rost_spain";"fire";"birds";2;"salvaged";3,663220339;0;0;0;0,307;0;0;0;0;0;0;0;0;0;0;0;0;0,307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,442;0;0;0;0;0;0;0;0;0;0;0,774;0
