id;species;weight_mean;clutchsize_mean;nest_position;migration;nocturnal;foraging.substrate_water;foraging.substrate_mud;foraging.substrate_ground;foraging.substrate_trunk;foraging.substrate_vegetation;foraging.substrate_air;foraging.method_pursuit;foraging.method_gleaning;foraging.method_pouncing;foraging.method_grazing;foraging.method_digging;foraging.method_scavenging;foraging.method_probing;diet_plant;diet_vertebrates;diet_invertebrates
127;Melanerpes_formicivorus;73.5;4;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1
128;Melanerpes_lewis;115;6.5;hole;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
129;Meleagris_gallopavo;7300;11;ground;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
130;Melospiza_lincolnii;19.2;4.5;ground;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1
131;Melospiza_melodia;19.1;4;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
132;Merops_apiaster;32.5;5.5;ground;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1
133;Miliaria_calandra;48.2;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
134;Molothrus_ater;44;10;canopy;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
135;Motacilla_alba;21.1;5.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
136;Motacilla_cinerea;17.5;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
137;Muscicapa_sibirica;10.2;3.5;hole;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1
138;Muscicapa_striata;17;5;hole;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1
139;Myadestes_townsendi;27.5;3.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
140;Nucifraga_columbiana;141;3;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
141;Oenanthe_hispanica;17.2;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1
142;Oenanthe_oenanthe;25.5;5.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
143;Oporornis_tolmiei;10.6;4;canopy;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
144;Oreortyx_pictus;239.5;10;ground;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
145;Oriolus_chinensis;82.5;3;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
146;Oriolus_oriolus;72;4;canopy;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1
147;Pandion_haliaetus;1520;3;canopy;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0
148;Parus_ater;9.5;9;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
149;Parus_atricapillus;11.5;7;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
150;Parus_caeruleus;11.1;16;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
151;Parus_cristatus;12.75;12.5;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
152;Parus_gambeli;10.5;8;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
153;Parus_major;17;11;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
154;Parus_montanus;11.5;8.5;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
155;Parus_palustris;11.5;8;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
156;Parus_rufescens;11;6;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
157;Parus_varius;16.5;6.5;hole;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
158;Passer_domesticus;28.5;5;hole;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
159;Passerella_iliaca;37.9;4;ground;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
160;Passerina_amoena;16.1;4;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
161;Patagioenas_fasciata;343;2;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
162;Perisoreus_canadensis;67.5;3;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
163;Pernis_apivorus;705;2;canopy;1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;0;1;1
164;Petronia_petronia;32.5;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
165;Phasianus_colchicus;1267.5;10;ground;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1
166;Pheucticus_melanocephalus;42;3.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
167;Phoenicurus_auroreus;15.5;4.5;hole;1;0;0;0;1;0;0;1;1;1;0;0;0;0;0;1;0;1
168;Phoenicurus_ochruros;16;5;hole;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
169;Phoenicurus_phoenicurus;17;6;hole;1;0;0;0;1;0;1;0;1;1;0;0;0;0;0;1;0;1
170;Phylloscopus_bonelli;9.25;5.5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
171;Phylloscopus_borealis;11.25;6;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
172;Phylloscopus_collybita;8.5;6.5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
173;Phylloscopus_sibilatrix;11.2;6;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
174;Phylloscopus_trochilus;10.5;6;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
175;Pica_hudsonia;177.5;6;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1
176;Pica_pica;226.5;6.5;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;1;0;1;1;1
177;Picoides_albolarvatus;64.5;4.5;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
178;Picoides_arcticus;74.5;3.5;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
179;Picoides_dorsalis;55.75;5;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
180;Picoides_pubescens;25.5;4.5;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;1
181;Picoides_tridactylus;64.5;3.5;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
182;Picoides_villosus;69.5;4;hole;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;0;0;1
183;Picus_canus;158;8;hole;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1
184;Picus_viridis;194;5;hole;0;0;0;0;1;1;1;0;0;1;0;0;0;0;1;0;0;1
185;Pinicola_enucleator;59.5;4;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
186;Pipilo_chlorurus;30.5;6;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
187;Pipilo_maculatus;39.8;4;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
188;Piranga_ludoviciana;30;4;canopy;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1
189;Pooecetes_gramineus;24;4;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
190;Prunella_modularis;19.5;4;ground;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
191;Prunella_montanella;17.5;5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
192;Pyrrhula_pyrrhula;29.5;4.5;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
193;Regulus_calendula;6;8;canopy;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1
194;Regulus_ignicapilla;6;8;canopy;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
195;Regulus_regulus;5.85;9;canopy;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;1
196;Regulus_satrapa;7.5;8;canopy;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;1
197;Salpinctes_obsoletus;16.5;5;ground;1;0;0;0;1;0;0;0;0;1;0;0;1;0;1;0;1;1
198;Saxicola_rubetra;19.5;5.5;ground;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1
199;Saxicola_torquatus;15;4;ground;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;1
200;Seiurus_aurocapilla;21;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
201;Seiurus_noveboracensis;18.7;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;1
202;Selasphorus_rufus;3.5;2;canopy;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;1;0;0
203;Serinus_serinus;11.25;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
204;Setophaga_ruticilla;9.25;3.5;canopy;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1
205;Sialia_currucoides;30;4.5;hole;1;0;0;0;1;0;1;1;1;1;1;0;0;0;0;1;0;1
206;Sialia_mexicana;29;5;hole;1;0;0;0;1;0;1;0;0;1;1;0;0;0;0;1;0;1
207;Sialia_sialis;30.5;4;hole;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1
208;Sitta_canadensis;10.5;6;hole;1;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1
209;Sitta_carolinensis;21.5;5;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1
210;Sitta_europaea;22.5;5;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1
211;Sitta_pygmaea;10.5;7;hole;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;1;0;1
212;Sphyrapicus_nuchalis;52.4;4.5;hole;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1
213;Sphyrapicus_thyroideus;54;2.5;hole;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;1
214;Spizella_breweri;11.5;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
215;Spizella_passerina;12.9;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
216;Stellula_calliope;3.15;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
217;Streptopelia_orientalis;219.5;2;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
218;Streptopelia_turtur;134;2;canopy;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;1
219;Sturnella_neglecta;97.7;4.5;ground;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;0;1
220;Sturnus_cineraceus;81.5;6.5;hole;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
221;Sturnus_vulgaris;77.5;5.5;hole;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1
222;Surnia_ulula;329;7;canopy;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;1;0
223;Sylvia_atricapilla;20;5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
224;Sylvia_borin;19;5;canopy;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;1;0;1
225;Sylvia_cantillans;11.5;5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
226;Sylvia_communis;1615.5;5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
227;Sylvia_conspicillata;10.5;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
228;Sylvia_curruca;13.75;5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
229;Sylvia_melanocephala;18.5;4.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
230;Sylvia_undata;8.5;4;canopy;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1
231;Tachycineta_bicolor;19;4;hole;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1
232;Tachycineta_thalassina;15;5;hole;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;1
233;Tetrao_urogallus;2900;7;ground;0;0;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1
234;Thryomanes_bewickii;9;5;hole;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
235;Tringa_ochropus;86;3;ground;1;0;1;1;1;0;0;0;0;1;0;0;0;0;1;0;0;1
236;Troglodytes_aedon;11.5;6;hole;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
237;Troglodytes_pacificus;10;6;hole;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
238;Troglodytes_troglodytes;9;6;hole;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;1
239;Turdus_iliacus;63;5;ground;1;0;0;0;1;1;1;0;0;1;0;0;0;0;0;1;0;1
240;Turdus_merula;95;4;canopy;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
241;Turdus_migratorius;76.5;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
242;Turdus_obscurus;89;5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
243;Turdus_pallidus;77;4.5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
244;Turdus_philomelos;78.5;5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
245;Turdus_pilaris;111;5.5;canopy;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
246;Turdus_torquatus;114;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
247;Turdus_viscivorus;130;4;canopy;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1
248;Tyrannus_tyrannus;41;3.5;canopy;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;1
249;Upupa_epops;67.5;6;hole;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;1
250;Vermivora_celata;9.5;5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
251;Vermivora_ruficapilla;10.3;4.5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
252;Vireo_cassinii;15.5;3.5;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
253;Vireo_gilvus;14.7;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
254;Vireo_olivaceus;17;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
255;Vireo_plumbeus;14.15;4;canopy;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
256;Wilsonia_pusilla;7.5;5;ground;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
257;Zenaida_macroura;130.5;2;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;0
258;Zonotrichia_leucophrys;29.75;4.5;ground;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
259;Zoothera_dauma;109;4;canopy;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;1;0;1
260;Zoothera_naevia;82.5;4;canopy;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1
